sport,count
aquatics,46
archery,4
athletics,47
badminton,5
basketball,2
boxing,13
canoe,16
cycling,18
equestrian,6
fencing,10
football,2
golf,2
gymnastics,18
handball,2
hockey,2
judo,14
modern pentathlon,2
rowing,14
rugby sevens,2
sailing,10
shooting,15
table tennis,4
taekwondo,8
tennis,5
triathlon,2
volleyball,4
weightlifting,15
wrestling,18
